danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,target,song_title,artist
0.696,0.859,0,-4.795,1,0.112,0.157,0,0.162,0.702,87.973,186546,4,0,GAP,Haha
0.558,0.454,6,-5.335,1,0.0551,0.499,0,0.146,0.424,113.12,158594,4,0,Here's Your Perfect,Jamie Miller
0.598,0.888,4,-5.119,1,0.0807,0.00947,0,0.347,0.482,103.966,187133,4,0,Talk Too Much,COIN
0.73,0.668,10,-5.869,1,0.0922,0.518,0.000247,0.237,0.543,115.96,220107,4,0,These Walls,Sam Kim
0.644,0.757,0,-4.773,1,0.0367,0.166,0,0.943,0.501,112.056,189360,4,1,Let the Good Times Roll,Ben Rector
0.651,0.291,4,-10.009,1,0.0326,0.738,0,0.115,0.302,124.898,210436,3,1,Shouldn't Be,Luke Chiang
0.848,0.352,4,-6.798,1,0.0464,0.789,0.000105,0.0865,0.571,92.991,198912,4,1,Feels Like You,Faime
0.69,0.406,5,-9.41,0,0.106,0.232,1.88E-06,0.145,0.507,160.14,277500,4,0,Too Good,Christian Kuria
0.519,0.241,8,-13.076,1,0.119,0.891,0,0.323,0.208,99.947,302895,4,0,Hindenburg Lover,Anson Seabra
0.721,0.63,4,-6.126,0,0.0409,0.534,0,0.245,0.908,148.045,185107,4,0,No Blueberries,"DPR IAN, DPR LIVE, CL"
0.609,0.692,1,-2.958,1,0.0259,0.0157,0,0.0864,0.454,116.959,233720,3,0,Dandelions,Ruth B.
0.633,0.242,3,-8.523,0,0.0761,0.515,0,0.0839,0.694,98.219,160791,4,0,Like Strangers Do,AJ Mitchell
0.927,0.551,9,-6.624,0,0.0921,0.42,0.0346,0.298,0.665,123.042,280878,4,1,Disco Yes,"Tom Misch, Poppy Ajudha"
0.713,0.597,4,-7.117,1,0.0692,0.377,2.86E-05,0.179,0.399,96.06,207164,4,1,Midnight Train,Sam Smith
0.677,0.576,6,-5.43,1,0.0416,0.631,0,0.125,0.562,87.934,243785,4,0,Rain Song (Feat. Colde),"Epik High, Colde"
0.757,0.393,5,-7.942,1,0.212,0.788,0.000986,0.0501,0.715,77.985,181623,4,1,Ride,HYBS
0.686,0.46,11,-6.676,0,0.0457,0.54,0,0.0516,0.539,77.007,230334,4,0,Thought Of You,John Park
0.656,0.436,8,-11.141,1,0.0744,0.845,0,0.221,0.196,109.239,171743,4,0,double take,dhruv
0.427,0.432,7,-9.743,1,0.0642,0.348,3.46E-05,0.104,0.17,71.209,194745,3,1,Absence of You,grentperez
0.688,0.237,9,-14.109,1,0.0408,0.544,1.80E-05,0.155,0.183,129.968,239308,4,0,Daylight,"JAIE, NYK"
0.551,0.32,7,-8.137,1,0.0615,0.772,0,0.116,0.489,108.742,251080,1,1,Why Do I Still? [feat. May Angeles] - Unplugged,"Nieman, May Angeles"
0.419,0.621,11,-6.901,1,0.0305,0.252,0.0367,0.125,0.727,79.692,225950,4,1,light,wave to earth
0.892,0.393,11,-5.633,1,0.196,0.571,0,0.132,0.825,88.986,219703,4,0,One of a Kind,"Sam Ock, Sarah Kang"
0.628,0.676,6,-4.227,1,0.0424,0.393,6.94E-05,0.0978,0.723,78.996,215687,4,1,Every Summertime,NIKI
0.71,0.661,1,-7.904,1,0.0461,0.65,6.53E-06,0.0947,0.654,135.005,213205,4,1,summer nights,The Millennial Club
0.427,0.104,1,-16.032,1,0.0371,0.888,0,0.258,0.331,130.844,186553,3,0,personal,lullaboy
0.686,0.631,2,-6.731,1,0.0614,0.779,0,0.206,0.595,83.003,192564,4,0,she could be,lullaboy
0.647,0.306,3,-10.392,1,0.0321,0.846,0,0.1,0.348,143.932,222083,4,1,Casualties,Ethan Dufault
0.652,0.256,10,-13.4,0,0.0799,0.874,0,0.163,0.408,119.414,225933,3,1,time machine,"mj apanay, aren park"
0.528,0.242,9,-11.175,1,0.0593,0.845,0,0.0742,0.544,130.266,219880,4,1,Don't You Worry,Oh Wonder
0.63,0.568,5,-9.051,0,0.0695,0.0658,0,0.102,0.785,157,155924,4,1,your love,"brb., Jimmy Brown"
0.549,0.313,2,-11.525,1,0.0322,0.759,0.108,0.0875,0.216,113.962,292625,3,0,Moments,Micah Edwards
